Grade,dream,studytime
3,0,30
3,0,137
5,1,0
4,2,69
3,1,39
3,1,0
5,1,334
5,0,0
5,0,326
3,0,0
3,2,39
2,0,0
5,1,122
3,2,197
2,1,86
5,2,9
5,0,0
4,1,180
4,0,0
3,1,124
3,1,137
2,1,0
2,2,60
2,2,137
2,1,77
3,2,0
4,1,429
2,1,99
3,2,394
5,0,1
5,0,60
3,1,30
3,1,16
4,1,30
5,1,7
1,0,5
3,0,219
3,1,111
1,2,137
3,0,94
3,0,39
3,2,463
3,2,0
1,0,154
5,1,0
4,1,86
5,1,47
1,1,77
3,1,386
4,0,480
2,1,0
5,0,0
5,0,60
3,1,39
4,2,167
3,1,386
3,1,6
2,2,351
2,2,60
3,1,0
3,1,137
4,0,394
2,2,407
5,2,287
3,1,317
1,2,180
3,1,39
5,0,30
3,0,30
1,2,429
2,0,60
3,0,77
3,1,77
2,1,30
2,0,47
5,1,0
3,2,60
3,2,120
4,0,51
5,1,0
2,2,0
3,2,549
3,2,1325
3,2,0
3,1,86
5,1,43
3,0,77
4,2,154
5,1,137
3,1,39
2,2,9
3,1,0
4,1,9
1,0,17
3,2,0
3,1,17
3,1,0
3,2,60
3,0,60
2,1,0
1,1,291
4,1,0
5,0,39
4,1,56
3,1,0
1,1,39
4,1,77
4,1,17
3,0,0
2,2,437
4,0,77
3,0,214
1,0,0
2,2,0
5,0,30
5,2,17
4,1,120
2,2,223
5,0,39
3,2,0
2,1,386
4,2,0
3,1,94
3,0,0
4,1,0
4,1,77
5,0,0
3,1,386
2,0,39
5,0,369
2,1,326
5,0,0
4,1,0
3,2,0
1,0,107
3,1,60
5,2,60
3,2,137
2,0,120
2,1,137
5,2,137
2,2,60
5,2,39
3,1,30
4,0,86
4,1,0
3,0,394
4,1,291
3,2,22
5,0,9
4,1,30
3,0,0
3,1,39
3,2,39
4,2,0
4,1,39
5,1,30
3,2,1029
5,0,77
3,0,39
3,1,249
3,0,0
4,1,99
3,1,386
2,2,429
4,1,77
