male,year,studylike,Grade,univ,dream,club,studytime,sleep,free,Cram,sptime
1,2,3,3,0,0,5,30,390,420,0,120
1,3,2,3,1,0,0,137,429,514,1,183
1,2,5,5,0,1,2,0,420,471,0,386
1,2,3,4,1,2,3,69,454,497,3,120
0,2,3,3,0,1,3,39,484,184,0,214
1,2,5,3,0,1,6,0,411,154,0,600
0,3,3,5,1,1,0,334,324,126,7,51
1,3,4,5,0,0,0,0,351,223,0,197
0,3,5,5,1,0,0,326,420,180,2,240
1,3,4,3,0,0,0,0,446,266,0,471
1,3,2,3,0,2,0,39,373,583,0,189
0,2,5,2,1,0,0,0,386,926,0,300
1,2,5,5,0,1,0,122,480,360,0,420
1,3,3,3,1,2,6,197,394,137,7,180
0,2,4,2,0,1,2,86,351,463,0,369
1,2,5,5,0,2,6,9,377,343,0,351
1,2,3,5,0,0,0,0,437,300,0,300
0,2,3,4,1,1,2,180,360,249,0,123
1,2,5,4,1,0,0,0,291,754,0,514
0,2,4,3,1,1,6,124,360,180,4,180
0,2,1,3,0,1,3,137,437,197,0,300
1,2,3,2,0,1,3,0,549,514,0,394
0,2,4,2,1,2,6,60,420,154,0,94
1,3,3,2,1,2,0,137,493,240,3,120
1,1,4,2,1,1,6,77,377,231,0,274
0,2,4,3,1,2,5,0,471,223,0,249
0,3,1,4,1,1,0,429,300,137,3,120
1,2,3,2,1,1,6,99,467,274,0,214
1,3,3,3,1,2,7,394,407,60,7,90
1,2,5,5,0,0,7,1,351,531,0,309
1,2,5,5,0,0,0,60,300,300,0,77
0,2,4,3,1,1,3,30,351,926,0,514
1,2,5,3,1,1,6,16,411,626,0,77
0,2,3,4,1,1,3,30,411,840,1,317
1,2,5,5,0,1,5,7,326,73,0,154
1,2,3,1,0,0,0,5,497,754,0,1440
0,3,3,3,1,0,3,219,467,476,0,171
0,3,2,3,0,1,7,111,424,214,0,159
0,3,3,1,1,2,0,137,317,463,0,94
1,3,5,3,1,0,0,94,411,249,0,94
1,2,3,3,0,0,0,39,240,171,0,214
1,3,2,3,1,2,7,463,270,60,2,60
0,2,2,3,1,2,5,0,407,334,0,274
1,3,2,1,1,0,0,154,360,180,0,124
1,2,5,5,1,1,5,0,334,309,0,549
1,2,3,4,1,1,6,86,394,77,0,81
1,2,5,5,1,1,6,47,471,437,0,171
1,2,2,1,1,1,6,77,420,94,0,137
0,3,5,3,1,1,0,386,317,60,7,90
0,3,5,4,1,0,0,480,377,60,7,60
1,2,2,2,0,1,0,0,420,703,0,703
1,2,3,5,0,0,7,0,334,840,0,1003
0,2,5,5,1,0,1,60,360,300,0,214
1,2,3,3,1,1,6,39,369,111,0,86
0,3,5,4,0,2,5,167,471,309,0,454
1,3,3,3,1,1,0,386,300,107,1,154
0,2,5,3,0,1,5,6,300,231,0,231
1,3,4,2,1,2,0,351,394,77,6,94
1,3,2,2,1,2,6,60,420,600,0,60
1,2,5,3,1,1,7,0,463,257,0,300
0,2,3,3,1,1,6,137,377,154,3,193
1,3,3,4,1,0,0,394,394,274,6,257
0,3,2,2,1,2,0,407,377,137,0,197
1,3,3,5,1,2,0,287,360,137,3,180
1,3,4,3,1,1,0,317,360,90,5,90
0,3,1,1,1,2,0,180,463,420,0,99
1,2,3,3,1,1,6,39,291,189,0,189
0,2,5,5,1,0,0,30,274,309,0,437
1,3,3,3,1,0,0,30,514,506,0,197
0,3,3,1,1,2,0,429,480,660,1,137
1,2,2,2,1,0,6,60,420,600,0,360
0,2,3,3,1,0,5,77,394,274,0,180
1,3,3,3,1,1,0,77,377,283,0,180
0,2,3,2,1,1,6,30,420,240,0,120
0,3,3,2,0,0,0,47,403,360,0,214
0,3,5,5,1,1,0,0,506,711,0,471
0,3,2,3,1,2,0,60,437,257,0,279
1,2,3,3,1,2,0,120,514,480,0,154
0,3,1,4,0,0,0,51,420,343,0,77
1,2,4,5,0,1,0,0,437,1440,0,626
1,2,3,2,0,2,3,0,437,1140,0,171
0,3,4,3,1,2,7,549,300,154,7,154
1,2,3,3,0,2,0,1325,420,1200,0,300
0,3,3,3,1,2,0,0,373,711,1,386
